E[GeV],E^2F[GeVs^1sr^1cm^2], UpperEF, LowerEF, LowerE, UpperE
14654.710693685949, 6.743506745616692e-7, 7.46915397852083e-7, 5.104735629037745e-7, 10071.690660557042, 21476.05455156333
31585.149504677694, 7.808294728495065e-7, 8.111216871766116e-7, 7.448125431114977e-7, 21552.89869917821, 46287.122820786964
68318.73461679585, 6.200960716806221e-7, 6.719783139896226e-7, 5.400846959184144e-7, 46452.74423370379, 99762.16692328415
147246.67664518437, 5.650056149841416e-7, 6.253631297724694e-7, 4.4869945937182447e-7, 99762.16692328415, 215016.38777080463
316227.7660168379, 5.9232761395512e-7,  6.427920143816959e-7, 5.213825432089328e-7, 215016.38777080507, 461770.36732458853
1468964.7534375698, 6.409823070995311e-7, 6.79120551507957e-7, 5.977799986841392e-7, 1002384.0007093946, 2152725.3480849257
